Baka;1;Zuzana;Caputova;272
Baka;2;Maros;Sefcovic;22
Balon;1;Zuzana;Caputova;136
Balon;2;Maros;Sefcovic;16
Bellova Ves;1;Zuzana;Caputova;85
Bellova Ves;2;Maros;Sefcovic;29
Blahova;1;Zuzana;Caputova;89
Blahova;2;Maros;Sefcovic;32
Blatna na Ostrove;1;Zuzana;Caputova;231
Blatna na Ostrove;2;Maros;Sefcovic;43
Bodiky;1;Zuzana;Caputova;148
Bodiky;2;Maros;Sefcovic;29
Bohelov;1;Zuzana;Caputova;61
Bohelov;2;Maros;Sefcovic;22
Cakany;1;Zuzana;Caputova;212
Cakany;2;Maros;Sefcovic;22
Cenkovce;1;Zuzana;Caputova;310
Cenkovce;2;Maros;Sefcovic;35
Cilizska Radvan;1;Zuzana;Caputova;149
Cilizska Radvan;2;Maros;Sefcovic;17
Dobrohost;1;Zuzana;Caputova;174
Dobrohost;2;Maros;Sefcovic;28
Dolny Bar;1;Zuzana;Caputova;133
Dolny Bar;2;Maros;Sefcovic;29
Dolny Stal;1;Zuzana;Caputova;273
Dolny Stal;2;Maros;Sefcovic;70
Dunajska Streda;1;Zuzana;Caputova;4938
Dunajska Streda;2;Maros;Sefcovic;824
Dunajsky Klatov;1;Zuzana;Caputova;118
Dunajsky Klatov;2;Maros;Sefcovic;18
Gabcikovo;1;Zuzana;Caputova;879
Gabcikovo;2;Maros;Sefcovic;196
Holice;1;Zuzana;Caputova;396
Holice;2;Maros;Sefcovic;91
Horna Poton;1;Zuzana;Caputova;436
Horna Poton;2;Maros;Sefcovic;87
Horne Myto;1;Zuzana;Caputova;130
Horne Myto;2;Maros;Sefcovic;13
Horny Bar;1;Zuzana;Caputova;317
Horny Bar;2;Maros;Sefcovic;71
Hubice;1;Zuzana;Caputova;212
Hubice;2;Maros;Sefcovic;37
Hviezdoslavov;1;Zuzana;Caputova;627
Hviezdoslavov;2;Maros;Sefcovic;194
Jahodna;1;Zuzana;Caputova;311
Jahodna;2;Maros;Sefcovic;33
Janiky;1;Zuzana;Caputova;303
Janiky;2;Maros;Sefcovic;53
Jurova;1;Zuzana;Caputova;91
Jurova;2;Maros;Sefcovic;14
Klucovec;1;Zuzana;Caputova;60
Klucovec;2;Maros;Sefcovic;13
Kostolne Kracany;1;Zuzana;Caputova;276
Kostolne Kracany;2;Maros;Sefcovic;47
Kralovicove Kracany;1;Zuzana;Caputova;192
Kralovicove Kracany;2;Maros;Sefcovic;37
Kutniky;1;Zuzana;Caputova;323
Kutniky;2;Maros;Sefcovic;61
Kvetoslavov;1;Zuzana;Caputova;553
Kvetoslavov;2;Maros;Sefcovic;138
Kyselica;1;Zuzana;Caputova;68
Kyselica;2;Maros;Sefcovic;10
Lehnice;1;Zuzana;Caputova;575
Lehnice;2;Maros;Sefcovic;164
Luc na Ostrove;1;Zuzana;Caputova;162
Luc na Ostrove;2;Maros;Sefcovic;29
Macov;1;Zuzana;Caputova;130
Macov;2;Maros;Sefcovic;37
Mad;1;Zuzana;Caputova;98
Mad;2;Maros;Sefcovic;28
Male Dvorniky;1;Zuzana;Caputova;276
Male Dvorniky;2;Maros;Sefcovic;61
Medvedov;1;Zuzana;Caputova;102
Medvedov;2;Maros;Sefcovic;18
Mierovo;1;Zuzana;Caputova;154
Mierovo;2;Maros;Sefcovic;17
Michal na Ostrove;1;Zuzana;Caputova;217
Michal na Ostrove;2;Maros;Sefcovic;59
Narad;1;Zuzana;Caputova;176
Narad;2;Maros;Sefcovic;17
Novy Zivot;1;Zuzana;Caputova;584
Novy Zivot;2;Maros;Sefcovic;78
Ohrady;1;Zuzana;Caputova;224
Ohrady;2;Maros;Sefcovic;28
Okoc;1;Zuzana;Caputova;380
Okoc;2;Maros;Sefcovic;90
Oldza;1;Zuzana;Caputova;146
Oldza;2;Maros;Sefcovic;42
Orechova Poton;1;Zuzana;Caputova;377
Orechova Poton;2;Maros;Sefcovic;39
Padan;1;Zuzana;Caputova;147
Padan;2;Maros;Sefcovic;15
Patas;1;Zuzana;Caputova;62
Patas;2;Maros;Sefcovic;14
Potonske Luky;1;Zuzana;Caputova;66
Potonske Luky;2;Maros;Sefcovic;8
Povoda;1;Zuzana;Caputova;210
Povoda;2;Maros;Sefcovic;50
Rohovce;1;Zuzana;Caputova;277
Rohovce;2;Maros;Sefcovic;46
Sap;1;Zuzana;Caputova;96
Sap;2;Maros;Sefcovic;13
Samorin;1;Zuzana;Caputova;3754
Samorin;2;Maros;Sefcovic;709
Stvrtok na Ostrove;1;Zuzana;Caputova;460
Stvrtok na Ostrove;2;Maros;Sefcovic;69
Topolniky;1;Zuzana;Caputova;468
Topolniky;2;Maros;Sefcovic;98
Trhova Hradska;1;Zuzana;Caputova;333
Trhova Hradska;2;Maros;Sefcovic;47
Trnavka;1;Zuzana;Caputova;118
Trnavka;2;Maros;Sefcovic;36
Trstena na Ostrove;1;Zuzana;Caputova;147
Trstena na Ostrove;2;Maros;Sefcovic;21
Velka Paka;1;Zuzana;Caputova;311
Velka Paka;2;Maros;Sefcovic;82
Velke Blahovo;1;Zuzana;Caputova;227
Velke Blahovo;2;Maros;Sefcovic;35
Velke Dvorniky;1;Zuzana;Caputova;228
Velke Dvorniky;2;Maros;Sefcovic;36
Velky Meder;1;Zuzana;Caputova;1101
Velky Meder;2;Maros;Sefcovic;308
Vieska;1;Zuzana;Caputova;107
Vieska;2;Maros;Sefcovic;21
Vojka nad Dunajom;1;Zuzana;Caputova;192
Vojka nad Dunajom;2;Maros;Sefcovic;37
Vrakun;1;Zuzana;Caputova;481
Vrakun;2;Maros;Sefcovic;76
Vydrany;1;Zuzana;Caputova;301
Vydrany;2;Maros;Sefcovic;55
Zlate Klasy;1;Zuzana;Caputova;464
Zlate Klasy;2;Maros;Sefcovic;62
Abraham;1;Zuzana;Caputova;204
Abraham;2;Maros;Sefcovic;259
Cierna Voda;1;Zuzana;Caputova;251
Cierna Voda;2;Maros;Sefcovic;65
Cierny Brod;1;Zuzana;Caputova;331
Cierny Brod;2;Maros;Sefcovic;38
Dolna Streda;1;Zuzana;Caputova;333
Dolna Streda;2;Maros;Sefcovic;231
Dolne Saliby;1;Zuzana;Caputova;402
Dolne Saliby;2;Maros;Sefcovic;80
Dolny Chotar;1;Zuzana;Caputova;47
Dolny Chotar;2;Maros;Sefcovic;12
Galanta;1;Zuzana;Caputova;3764
Galanta;2;Maros;Sefcovic;1378
Gan;1;Zuzana;Caputova;189
Gan;2;Maros;Sefcovic;138
Horne Saliby;1;Zuzana;Caputova;673
Horne Saliby;2;Maros;Sefcovic;220
Hoste;1;Zuzana;Caputova;87
Hoste;2;Maros;Sefcovic;108
Janovce;1;Zuzana;Caputova;144
Janovce;2;Maros;Sefcovic;54
Jelka;1;Zuzana;Caputova;777
Jelka;2;Maros;Sefcovic;208
Kajal;1;Zuzana;Caputova;303
Kajal;2;Maros;Sefcovic;83
Kosuty;1;Zuzana;Caputova;386
Kosuty;2;Maros;Sefcovic;124
Kralov Brod;1;Zuzana;Caputova;212
Kralov Brod;2;Maros;Sefcovic;19
Mala Maca;1;Zuzana;Caputova;131
Mala Maca;2;Maros;Sefcovic;52
Matuskovo;1;Zuzana;Caputova;666
Matuskovo;2;Maros;Sefcovic;173
Mostova;1;Zuzana;Caputova;353
Mostova;2;Maros;Sefcovic;70
Pata;1;Zuzana;Caputova;489
Pata;2;Maros;Sefcovic;453
Puste Sady;1;Zuzana;Caputova;108
Puste Sady;2;Maros;Sefcovic;112
Puste Ulany;1;Zuzana;Caputova;343
Puste Ulany;2;Maros;Sefcovic;277
Sered;1;Zuzana;Caputova;2935
Sered;2;Maros;Sefcovic;2350
Sladkovicovo;1;Zuzana;Caputova;1215
Sladkovicovo;2;Maros;Sefcovic;365
Salgocka;1;Zuzana;Caputova;70
Salgocka;2;Maros;Sefcovic;72
Sintava;1;Zuzana;Caputova;362
Sintava;2;Maros;Sefcovic;303
Soporna;1;Zuzana;Caputova;590
Soporna;2;Maros;Sefcovic;696
Tomasikovo;1;Zuzana;Caputova;260
Tomasikovo;2;Maros;Sefcovic;43
Topolnica;1;Zuzana;Caputova;243
Topolnica;2;Maros;Sefcovic;62
Trstice;1;Zuzana;Caputova;670
Trstice;2;Maros;Sefcovic;76
Vahovce;1;Zuzana;Caputova;467
Vahovce;2;Maros;Sefcovic;101
Velka Maca;1;Zuzana;Caputova;565
Velka Maca;2;Maros;Sefcovic;76
Velke Ulany;1;Zuzana;Caputova;1174
Velke Ulany;2;Maros;Sefcovic;238
Velky Grob;1;Zuzana;Caputova;285
Velky Grob;2;Maros;Sefcovic;178
Vinohrady nad Vahom;1;Zuzana;Caputova;243
Vinohrady nad Vahom;2;Maros;Sefcovic;273
Vozokany;1;Zuzana;Caputova;293
Vozokany;2;Maros;Sefcovic;39
Zemianske Sady;1;Zuzana;Caputova;121
Zemianske Sady;2;Maros;Sefcovic;128
Banka;1;Zuzana;Caputova;550
Banka;2;Maros;Sefcovic;293
Basovce;1;Zuzana;Caputova;71
Basovce;2;Maros;Sefcovic;49
Borovce;1;Zuzana;Caputova;167
Borovce;2;Maros;Sefcovic;196
Dolny Lopasov;1;Zuzana;Caputova;148
Dolny Lopasov;2;Maros;Sefcovic;184
Drahovce;1;Zuzana;Caputova;485
Drahovce;2;Maros;Sefcovic;368
Dubovany;1;Zuzana;Caputova;159
Dubovany;2;Maros;Sefcovic;149
Ducove;1;Zuzana;Caputova;118
Ducove;2;Maros;Sefcovic;41
Hubina;1;Zuzana;Caputova;101
Hubina;2;Maros;Sefcovic;78
Chtelnica;1;Zuzana;Caputova;424
Chtelnica;2;Maros;Sefcovic;607
Kocin - Lancar;1;Zuzana;Caputova;71
Kocin - Lancar;2;Maros;Sefcovic;128
Krakovany;1;Zuzana;Caputova;354
Krakovany;2;Maros;Sefcovic;195
Moravany nad Vahom;1;Zuzana;Caputova;513
Moravany nad Vahom;2;Maros;Sefcovic;332
Nizna;1;Zuzana;Caputova;99
Nizna;2;Maros;Sefcovic;107
Ostrov;1;Zuzana;Caputova;337
Ostrov;2;Maros;Sefcovic;147
Pecenady;1;Zuzana;Caputova;81
Pecenady;2;Maros;Sefcovic;96
Piestany;1;Zuzana;Caputova;7520
